Float pumping speeds by length of pipe between two pumps:
length: 413 measured in pump: 530.97259521484 measured out pump: 530.97259521484
length: 414 measured in pump: 529.80029296875 measured out pump: 529.80029296875
length: 415 measured in pump: 528.63330078125 measured out pump: 528.63330078125
length: 416 measured in pump: 527.47143554688 measured out pump: 527.47143554688
length: 417 measured in pump: 526.31488037109 measured out pump: 526.31488037109
length: 418 measured in pump: 525.16320800781 measured out pump: 525.16320800781
length: 419 measured in pump: 524.01654052734 measured out pump: 524.01654052734
length: 420 measured in pump: 522.87493896484 measured out pump: 522.87493896484
length: 421 measured in pump: 521.73791503906 measured out pump: 521.73791503906
length: 422 measured in pump: 520.60620117188 measured out pump: 520.60620117188
length: 423 measured in pump: 519.47961425781 measured out pump: 519.47961425781
length: 424 measured in pump: 518.357421875 measured out pump: 518.357421875
length: 425 measured in pump: 517.24041748047 measured out pump: 517.24041748047
length: 426 measured in pump: 516.12835693359 measured out pump: 516.12835693359
length: 427 measured in pump: 515.02081298828 measured out pump: 515.02081298828
length: 428 measured in pump: 513.91778564453 measured out pump: 513.91778564453
length: 429 measured in pump: 512.81945800781 measured out pump: 512.81945800781
length: 430 measured in pump: 511.72622680664 measured out pump: 511.72622680664
length: 431 measured in pump: 510.63714599609 measured out pump: 510.63714599609
length: 432 measured in pump: 509.55310058594 measured out pump: 509.55310058594
length: 433 measured in pump: 508.47354125977 measured out pump: 508.47354125977
length: 434 measured in pump: 507.39846801758 measured out pump: 507.39846801758
length: 435 measured in pump: 506.32809448242 measured out pump: 506.32809448242
length: 436 measured in pump: 505.26220703125 measured out pump: 505.26220703125
length: 437 measured in pump: 504.20077514648 measured out pump: 504.20077514648
length: 438 measured in pump: 503.14349365234 measured out pump: 503.14349365234
length: 439 measured in pump: 502.09094238281 measured out pump: 502.09094238281
length: 440 measured in pump: 501.04312133789 measured out pump: 501.04312133789
length: 441 measured in pump: 499.99945068359 measured out pump: 499.99945068359
length: 442 measured in pump: 498.95965576172 measured out pump: 498.95965576172
length: 443 measured in pump: 497.92459106445 measured out pump: 497.92459106445
length: 444 measured in pump: 496.89343261719 measured out pump: 496.89343261719
length: 445 measured in pump: 495.86688232422 measured out pump: 495.86688232422
length: 446 measured in pump: 494.84429931641 measured out pump: 494.84429931641
length: 447 measured in pump: 493.82604980469 measured out pump: 493.82604980469
length: 448 measured in pump: 492.81228637695 measured out pump: 492.81228637695
length: 449 measured in pump: 491.80264282227 measured out pump: 491.80264282227
length: 450 measured in pump: 490.79629516602 measured out pump: 490.79629516602
length: 451 measured in pump: 489.79516601563 measured out pump: 489.79516601563
length: 452 measured in pump: 488.79794311523 measured out pump: 488.79794311523
length: 453 measured in pump: 487.80368041992 measured out pump: 487.80368041992
length: 454 measured in pump: 486.81460571289 measured out pump: 486.81460571289
length: 455 measured in pump: 485.82916259766 measured out pump: 485.82916259766
length: 456 measured in pump: 484.84783935547 measured out pump: 484.84783935547
length: 457 measured in pump: 483.86999511719 measured out pump: 483.86999511719
length: 458 measured in pump: 482.89633178711 measured out pump: 482.89633178711
length: 459 measured in pump: 481.92672729492 measured out pump: 481.92672729492
length: 460 measured in pump: 480.96072387695 measured out pump: 480.96072387695
length: 461 measured in pump: 479.99914550781 measured out pump: 479.99911499023
length: 462 measured in pump: 479.04116821289 measured out pump: 479.04116821289
length: 463 measured in pump: 478.08685302734 measured out pump: 478.08682250977
length: 464 measured in pump: 477.13635253906 measured out pump: 477.13635253906
length: 465 measured in pump: 476.18951416016 measured out pump: 476.18951416016
length: 466 measured in pump: 475.24664306641 measured out pump: 475.24664306641
length: 467 measured in pump: 474.30746459961 measured out pump: 474.30743408203
length: 468 measured in pump: 473.37188720703 measured out pump: 473.37185668945
length: 469 measured in pump: 472.44027709961 measured out pump: 472.44027709961
length: 470 measured in pump: 471.51174926758 measured out pump: 471.51174926758
length: 471 measured in pump: 470.58746337891 measured out pump: 470.58746337891
length: 472 measured in pump: 469.66622924805 measured out pump: 469.66622924805
length: 473 measured in pump: 468.74926757813 measured out pump: 468.74923706055
length: 474 measured in pump: 467.83532714844 measured out pump: 467.83532714844
length: 475 measured in pump: 466.92520141602 measured out pump: 466.92520141602
length: 476 measured in pump: 466.01858520508 measured out pump: 466.0185546875
length: 477 measured in pump: 465.11560058594 measured out pump: 465.11560058594
length: 478 measured in pump: 464.21594238281 measured out pump: 464.21594238281
length: 479 measured in pump: 463.31936645508 measured out pump: 463.31936645508
length: 480 measured in pump: 462.42672729492 measured out pump: 462.42669677734
length: 481 measured in pump: 461.53787231445 measured out pump: 461.53784179688
length: 482 measured in pump: 460.65179443359 measured out pump: 460.65176391602
length: 483 measured in pump: 459.76931762695 measured out pump: 459.76931762695
length: 484 measured in pump: 458.89044189453 measured out pump: 458.89044189453
length: 485 measured in pump: 458.01428222656 measured out pump: 458.01425170898
length: 486 measured in pump: 457.14193725586 measured out pump: 457.14190673828
length: 487 measured in pump: 456.27282714844 measured out pump: 456.27282714844
length: 488 measured in pump: 455.40704345703 measured out pump: 455.40701293945
length: 489 measured in pump: 454.54476928711 measured out pump: 454.54473876953
length: 490 measured in pump: 453.68521118164 measured out pump: 453.68518066406
length: 491 measured in pump: 452.82925415039 measured out pump: 452.82925415039
length: 492 measured in pump: 451.97668457031 measured out pump: 451.97665405273
length: 493 measured in pump: 451.126953125 measured out pump: 451.12692260742
length: 494 measured in pump: 450.28057861328 measured out pump: 450.2805480957
length: 495 measured in pump: 449.43734741211 measured out pump: 449.43734741211
length: 496 measured in pump: 448.59732055664 measured out pump: 448.59729003906
length: 497 measured in pump: 447.76034545898 measured out pump: 447.76034545898
length: 498 measured in pump: 446.92633056641 measured out pump: 446.92633056641
length: 499 measured in pump: 446.09555053711 measured out pump: 446.09555053711
length: 500 measured in pump: 445.26821899414 measured out pump: 445.26818847656
length: 501 measured in pump: 444.44360351563 measured out pump: 444.44357299805
length: 502 measured in pump: 443.62185668945 measured out pump: 443.62185668945
length: 503 measured in pump: 442.80361938477 measured out pump: 442.80358886719
length: 504 measured in pump: 441.98803710938 measured out pump: 441.98803710938
length: 505 measured in pump: 441.17568969727 measured out pump: 441.17565917969
length: 506 measured in pump: 440.36602783203 measured out pump: 440.36599731445
length: 507 measured in pump: 439.55953979492 measured out pump: 439.55953979492
length: 508 measured in pump: 438.75588989258 measured out pump: 438.75588989258
length: 509 measured in pump: 437.95544433594 measured out pump: 437.95541381836
length: 510 measured in pump: 437.15768432617 measured out pump: 437.15765380859
length: 511 measured in pump: 436.36297607422 measured out pump: 436.36294555664
length: 512 measured in pump: 435.57104492188 measured out pump: 435.57104492188
length: 513 measured in pump: 434.78189086914 measured out pump: 434.78189086914
length: 514 measured in pump: 433.99536132813 measured out pump: 433.99533081055
length: 515 measured in pump: 433.21203613281 measured out pump: 433.21203613281
length: 516 measured in pump: 432.43130493164 measured out pump: 432.43130493164
length: 517 measured in pump: 431.65399169922 measured out pump: 431.65399169922
length: 518 measured in pump: 430.87899780273 measured out pump: 430.87896728516
length: 519 measured in pump: 430.10653686523 measured out pump: 430.10653686523
length: 520 measured in pump: 429.33724975586 measured out pump: 429.33721923828
length: 521 measured in pump: 428.57049560547 measured out pump: 428.57049560547
length: 522 measured in pump: 427.80676269531 measured out pump: 427.80673217773
length: 523 measured in pump: 427.04525756836 measured out pump: 427.04525756836
length: 524 measured in pump: 426.28707885742 measured out pump: 426.28704833984
length: 525 measured in pump: 425.53112792969 measured out pump: 425.53109741211
length: 526 measured in pump: 424.77816772461 measured out pump: 424.77816772461
length: 527 measured in pump: 424.02734375 measured out pump: 424.02734375
length: 528 measured in pump: 423.27951049805 measured out pump: 423.27947998047
length: 529 measured in pump: 422.53451538086 measured out pump: 422.53448486328
length: 530 measured in pump: 421.79177856445 measured out pump: 421.79174804688
length: 531 measured in pump: 421.05187988281 measured out pump: 421.05184936523
length: 532 measured in pump: 420.31451416016 measured out pump: 420.31448364258
length: 533 measured in pump: 419.57971191406 measured out pump: 419.57968139648
length: 534 measured in pump: 418.84729003906 measured out pump: 418.84725952148
length: 535 measured in pump: 418.11773681641 measured out pump: 418.11770629883
length: 536 measured in pump: 417.39041137695 measured out pump: 417.39038085938
length: 537 measured in pump: 416.66592407227 measured out pump: 416.66589355469
length: 538 measured in pump: 415.94384765625 measured out pump: 415.94381713867
length: 539 measured in pump: 415.22396850586 measured out pump: 415.22393798828
length: 540 measured in pump: 414.5071105957 measured out pump: 414.50708007813
length: 541 measured in pump: 413.79235839844 measured out pump: 413.79232788086
length: 542 measured in pump: 413.07995605469 measured out pump: 413.07992553711
length: 543 measured in pump: 412.37069702148 measured out pump: 412.37066650391
length: 544 measured in pump: 411.66296386719 measured out pump: 411.66296386719
length: 545 measured in pump: 410.95834350586 measured out pump: 410.95831298828
length: 546 measured in pump: 410.25564575195 measured out pump: 410.25561523438
length: 547 measured in pump: 409.55563354492 measured out pump: 409.55563354492
length: 548 measured in pump: 408.85772705078 measured out pump: 408.8576965332
length: 549 measured in pump: 408.16247558594 measured out pump: 408.16247558594
length: 550 measured in pump: 407.46948242188 measured out pump: 407.4694519043
length: 551 measured in pump: 406.77877807617 measured out pump: 406.77877807617
length: 552 measured in pump: 406.09066772461 measured out pump: 406.09066772461
length: 553 measured in pump: 405.40454101563 measured out pump: 405.40454101563
length: 554 measured in pump: 404.72103881836 measured out pump: 404.72103881836
length: 555 measured in pump: 404.03967285156 measured out pump: 404.03967285156
length: 556 measured in pump: 403.3606262207 measured out pump: 403.3606262207
length: 557 measured in pump: 402.6838684082 measured out pump: 402.6838684082
length: 558 measured in pump: 402.00915527344 measured out pump: 402.00915527344
length: 559 measured in pump: 401.33709716797 measured out pump: 401.33709716797
length: 560 measured in pump: 400.6669921875 measured out pump: 400.6669921875
length: 561 measured in pump: 399.99923706055 measured out pump: 399.99923706055
length: 562 measured in pump: 399.33374023438 measured out pump: 399.33374023438
length: 563 measured in pump: 398.67031860352 measured out pump: 398.67031860352
length: 564 measured in pump: 398.00912475586 measured out pump: 398.00912475586
length: 565 measured in pump: 397.35025024414 measured out pump: 397.35025024414
length: 566 measured in pump: 396.69351196289 measured out pump: 396.69351196289
length: 567 measured in pump: 396.03897094727 measured out pump: 396.03897094727
length: 568 measured in pump: 395.38647460938 measured out pump: 395.38647460938
length: 569 measured in pump: 394.73608398438 measured out pump: 394.73608398438
length: 570 measured in pump: 394.08807373047 measured out pump: 394.08807373047
length: 571 measured in pump: 393.44180297852 measured out pump: 393.44180297852
length: 572 measured in pump: 392.79776000977 measured out pump: 392.79776000977
length: 573 measured in pump: 392.15609741211 measured out pump: 392.15609741211
length: 574 measured in pump: 391.51635742188 measured out pump: 391.51635742188
length: 575 measured in pump: 390.87866210938 measured out pump: 390.87866210938
length: 576 measured in pump: 390.2431640625 measured out pump: 390.2431640625
length: 577 measured in pump: 389.60946655273 measured out pump: 389.60946655273
length: 578 measured in pump: 388.97811889648 measured out pump: 388.97811889648
length: 579 measured in pump: 388.34899902344 measured out pump: 388.34899902344
length: 580 measured in pump: 387.72119140625 measured out pump: 387.72119140625
length: 581 measured in pump: 387.09603881836 measured out pump: 387.09603881836
length: 582 measured in pump: 386.47268676758 measured out pump: 386.47268676758
length: 583 measured in pump: 385.85134887695 measured out pump: 385.85134887695
length: 584 measured in pump: 385.23208618164 measured out pump: 385.23208618164
length: 585 measured in pump: 384.61459350586 measured out pump: 384.61459350586
length: 586 measured in pump: 383.9992980957 measured out pump: 383.9992980957
length: 587 measured in pump: 383.38592529297 measured out pump: 383.38592529297
length: 588 measured in pump: 382.77432250977 measured out pump: 382.77432250977
length: 589 measured in pump: 382.16491699219 measured out pump: 382.16491699219
length: 590 measured in pump: 381.55725097656 measured out pump: 381.55725097656
length: 591 measured in pump: 380.95181274414 measured out pump: 380.95181274414
length: 592 measured in pump: 380.34814453125 measured out pump: 380.34814453125
length: 593 measured in pump: 379.74621582031 measured out pump: 379.74621582031
length: 594 measured in pump: 379.1462097168 measured out pump: 379.1462097168
length: 595 measured in pump: 378.54794311523 measured out pump: 378.54794311523
length: 596 measured in pump: 377.95205688477 measured out pump: 377.95205688477
length: 597 measured in pump: 377.35775756836 measured out pump: 377.35775756836
length: 598 measured in pump: 376.76522827148 measured out pump: 376.76522827148
length: 599 measured in pump: 376.17474365234 measured out pump: 376.17474365234
length: 600 measured in pump: 375.58615112305 measured out pump: 375.58615112305
length: 601 measured in pump: 374.99932861328 measured out pump: 374.99932861328
length: 602 measured in pump: 374.41436767578 measured out pump: 374.41436767578
length: 603 measured in pump: 373.83108520508 measured out pump: 373.83108520508
length: 604 measured in pump: 373.24966430664 measured out pump: 373.24966430664
length: 605 measured in pump: 372.67013549805 measured out pump: 372.67013549805
length: 606 measured in pump: 372.09234619141 measured out pump: 372.09234619141
length: 607 measured in pump: 371.51647949219 measured out pump: 371.51647949219
length: 608 measured in pump: 370.94192504883 measured out pump: 370.94192504883
length: 609 measured in pump: 370.36953735352 measured out pump: 370.36953735352
length: 610 measured in pump: 369.79895019531 measured out pump: 369.79895019531
length: 611 measured in pump: 369.22991943359 measured out pump: 369.22991943359
length: 612 measured in pump: 368.66296386719 measured out pump: 368.66296386719
length: 613 measured in pump: 368.09756469727 measured out pump: 368.09756469727
length: 614 measured in pump: 367.53378295898 measured out pump: 367.53378295898
length: 615 measured in pump: 366.97177124023 measured out pump: 366.97177124023
length: 616 measured in pump: 366.41146850586 measured out pump: 366.41146850586
length: 617 measured in pump: 365.85308837891 measured out pump: 365.85308837891
length: 618 measured in pump: 365.29602050781 measured out pump: 365.29602050781
length: 619 measured in pump: 364.7409362793 measured out pump: 364.7409362793
length: 620 measured in pump: 364.1875 measured out pump: 364.1875
length: 621 measured in pump: 363.63565063477 measured out pump: 363.63565063477
length: 622 measured in pump: 363.08554077148 measured out pump: 363.08554077148
length: 623 measured in pump: 362.53717041016 measured out pump: 362.53717041016
length: 624 measured in pump: 361.990234375 measured out pump: 361.990234375
length: 625 measured in pump: 361.44506835938 measured out pump: 361.44506835938
length: 626 measured in pump: 360.90148925781 measured out pump: 360.90148925781
length: 627 measured in pump: 360.35961914063 measured out pump: 360.35961914063
length: 628 measured in pump: 359.81948852539 measured out pump: 359.81948852539
length: 629 measured in pump: 359.28070068359 measured out pump: 359.28070068359
length: 630 measured in pump: 358.74374389648 measured out pump: 358.74374389648
length: 631 measured in pump: 358.20812988281 measured out pump: 358.20812988281
length: 632 measured in pump: 357.67437744141 measured out pump: 357.67437744141
length: 633 measured in pump: 357.14208984375 measured out pump: 357.14208984375
length: 634 measured in pump: 356.61138916016 measured out pump: 356.61138916016
length: 635 measured in pump: 356.08239746094 measured out pump: 356.08239746094
length: 636 measured in pump: 355.55487060547 measured out pump: 355.55487060547
length: 637 measured in pump: 355.0290222168 measured out pump: 355.0290222168
length: 638 measured in pump: 354.50436401367 measured out pump: 354.50436401367
length: 639 measured in pump: 353.98159790039 measured out pump: 353.98159790039
length: 640 measured in pump: 353.46026611328 measured out pump: 353.46026611328
length: 641 measured in pump: 352.94052124023 measured out pump: 352.94052124023
length: 642 measured in pump: 352.42233276367 measured out pump: 352.42233276367
length: 643 measured in pump: 351.90557861328 measured out pump: 351.90557861328
length: 644 measured in pump: 351.39013671875 measured out pump: 351.39013671875
length: 645 measured in pump: 350.87646484375 measured out pump: 350.87646484375
length: 646 measured in pump: 350.36431884766 measured out pump: 350.36431884766
length: 647 measured in pump: 349.85360717773 measured out pump: 349.85360717773
length: 648 measured in pump: 349.34436035156 measured out pump: 349.34436035156
length: 649 measured in pump: 348.83666992188 measured out pump: 348.83666992188
length: 650 measured in pump: 348.33029174805 measured out pump: 348.33029174805
length: 651 measured in pump: 347.82531738281 measured out pump: 347.82531738281
length: 652 measured in pump: 347.32196044922 measured out pump: 347.32196044922
length: 653 measured in pump: 346.82012939453 measured out pump: 346.82012939453
length: 654 measured in pump: 346.31976318359 measured out pump: 346.31976318359
length: 655 measured in pump: 345.82067871094 measured out pump: 345.82067871094
length: 656 measured in pump: 345.32302856445 measured out pump: 345.32302856445
length: 657 measured in pump: 344.82696533203 measured out pump: 344.82696533203
length: 658 measured in pump: 344.33215332031 measured out pump: 344.33215332031
length: 659 measured in pump: 343.83892822266 measured out pump: 343.83892822266
length: 660 measured in pump: 343.34701538086 measured out pump: 343.34701538086
length: 661 measured in pump: 342.85650634766 measured out pump: 342.85650634766
length: 662 measured in pump: 342.36758422852 measured out pump: 342.36758422852
length: 663 measured in pump: 341.87976074219 measured out pump: 341.87976074219
length: 664 measured in pump: 341.39340209961 measured out pump: 341.39340209961
length: 665 measured in pump: 340.90844726563 measured out pump: 340.90844726563
length: 666 measured in pump: 340.4248046875 measured out pump: 340.4248046875
length: 667 measured in pump: 339.94271850586 measured out pump: 339.94271850586
length: 668 measured in pump: 339.46173095703 measured out pump: 339.46173095703
length: 669 measured in pump: 338.98239135742 measured out pump: 338.98239135742
length: 670 measured in pump: 338.50424194336 measured out pump: 338.50424194336
length: 671 measured in pump: 338.02758789063 measured out pump: 338.02758789063
length: 672 measured in pump: 337.55200195313 measured out pump: 337.55200195313
length: 673 measured in pump: 337.07803344727 measured out pump: 337.07803344727
length: 674 measured in pump: 336.60531616211 measured out pump: 336.60531616211
length: 675 measured in pump: 336.13375854492 measured out pump: 336.13375854492
length: 676 measured in pump: 335.66372680664 measured out pump: 335.66372680664
length: 677 measured in pump: 335.19485473633 measured out pump: 335.19485473633
length: 678 measured in pump: 334.7275390625 measured out pump: 334.7275390625
length: 679 measured in pump: 334.26135253906 measured out pump: 334.26135253906
length: 680 measured in pump: 333.79629516602 measured out pump: 333.79629516602
length: 681 measured in pump: 333.33276367188 measured out pump: 333.33276367188
length: 682 measured in pump: 332.87042236328 measured out pump: 332.87042236328
length: 683 measured in pump: 332.4091796875 measured out pump: 332.4091796875
length: 684 measured in pump: 331.94964599609 measured out pump: 331.94964599609
length: 685 measured in pump: 331.49078369141 measured out pump: 331.49078369141
length: 686 measured in pump: 331.03408813477 measured out pump: 331.03408813477
length: 687 measured in pump: 330.57794189453 measured out pump: 330.57794189453
length: 688 measured in pump: 330.12319946289 measured out pump: 330.12319946289
length: 689 measured in pump: 329.66973876953 measured out pump: 329.66973876953
length: 690 measured in pump: 329.21752929688 measured out pump: 329.21752929688
length: 691 measured in pump: 328.76657104492 measured out pump: 328.76657104492
length: 692 measured in pump: 328.31661987305 measured out pump: 328.31661987305
length: 693 measured in pump: 327.86825561523 measured out pump: 327.86825561523
length: 694 measured in pump: 327.42095947266 measured out pump: 327.42095947266
length: 695 measured in pump: 326.97482299805 measured out pump: 326.97482299805
length: 696 measured in pump: 326.53005981445 measured out pump: 326.53005981445
length: 697 measured in pump: 326.08630371094 measured out pump: 326.08630371094
length: 698 measured in pump: 325.64395141602 measured out pump: 325.64395141602
length: 699 measured in pump: 325.20272827148 measured out pump: 325.20272827148
length: 700 measured in pump: 324.76257324219 measured out pump: 324.76257324219
length: 701 measured in pump: 324.32373046875 measured out pump: 324.32373046875
length: 702 measured in pump: 323.8860168457 measured out pump: 323.8860168457
length: 703 measured in pump: 323.44940185547 measured out pump: 323.44940185547
length: 704 measured in pump: 323.01419067383 measured out pump: 323.01419067383
length: 705 measured in pump: 322.58026123047 measured out pump: 322.58026123047
length: 706 measured in pump: 322.14697265625 measured out pump: 322.14697265625
length: 707 measured in pump: 321.71527099609 measured out pump: 321.71527099609
length: 708 measured in pump: 321.28454589844 measured out pump: 321.28454589844
length: 709 measured in pump: 320.85504150391 measured out pump: 320.85504150391
length: 710 measured in pump: 320.42657470703 measured out pump: 320.42657470703
length: 711 measured in pump: 319.99945068359 measured out pump: 319.99945068359
length: 712 measured in pump: 319.57333374023 measured out pump: 319.57333374023
length: 713 measured in pump: 319.14846801758 measured out pump: 319.14846801758
length: 714 measured in pump: 318.72442626953 measured out pump: 318.72442626953
length: 715 measured in pump: 318.30163574219 measured out pump: 318.30163574219
length: 716 measured in pump: 317.88009643555 measured out pump: 317.88009643555
length: 717 measured in pump: 317.45980834961 measured out pump: 317.45980834961
length: 718 measured in pump: 317.04037475586 measured out pump: 317.04037475586
length: 719 measured in pump: 316.62216186523 measured out pump: 316.62216186523
length: 720 measured in pump: 316.2048034668 measured out pump: 316.2048034668
length: 721 measured in pump: 315.78869628906 measured out pump: 315.78869628906
length: 722 measured in pump: 315.37384033203 measured out pump: 315.37384033203
length: 723 measured in pump: 314.96008300781 measured out pump: 314.96008300781
length: 724 measured in pump: 314.54702758789 measured out pump: 314.54702758789
length: 725 measured in pump: 314.13534545898 measured out pump: 314.13534545898
length: 726 measured in pump: 313.72479248047 measured out pump: 313.72479248047
length: 727 measured in pump: 313.31530761719 measured out pump: 313.31530761719
length: 728 measured in pump: 312.90686035156 measured out pump: 312.90686035156
length: 729 measured in pump: 312.49945068359 measured out pump: 312.49945068359
length: 730 measured in pump: 312.09317016602 measured out pump: 312.09317016602
length: 731 measured in pump: 311.68771362305 measured out pump: 311.68771362305
length: 732 measured in pump: 311.28350830078 measured out pump: 311.28350830078
length: 733 measured in pump: 310.88027954102 measured out pump: 310.88027954102
length: 734 measured in pump: 310.47811889648 measured out pump: 310.47811889648
length: 735 measured in pump: 310.07696533203 measured out pump: 310.07696533203
length: 736 measured in pump: 309.6767578125 measured out pump: 309.6767578125
length: 737 measured in pump: 309.27792358398 measured out pump: 309.27792358398
length: 738 measured in pump: 308.87963867188 measured out pump: 308.87963867188
length: 739 measured in pump: 308.48272705078 measured out pump: 308.48272705078
length: 740 measured in pump: 308.0866394043 measured out pump: 308.0866394043
length: 741 measured in pump: 307.69165039063 measured out pump: 307.69165039063
length: 742 measured in pump: 307.29763793945 measured out pump: 307.29763793945
length: 743 measured in pump: 306.90472412109 measured out pump: 306.90472412109
length: 744 measured in pump: 306.51278686523 measured out pump: 306.51278686523
length: 745 measured in pump: 306.12161254883 measured out pump: 306.12161254883
length: 746 measured in pump: 305.73199462891 measured out pump: 305.73199462891
length: 747 measured in pump: 305.34292602539 measured out pump: 305.34292602539
length: 748 measured in pump: 304.95495605469 measured out pump: 304.95495605469
length: 749 measured in pump: 304.56790161133 measured out pump: 304.56790161133
length: 750 measured in pump: 304.18185424805 measured out pump: 304.18185424805
length: 751 measured in pump: 303.79699707031 measured out pump: 303.79699707031
length: 752 measured in pump: 303.41284179688 measured out pump: 303.41284179688
length: 753 measured in pump: 303.02975463867 measured out pump: 303.02975463867
length: 754 measured in pump: 302.64752197266 measured out pump: 302.64752197266
length: 755 measured in pump: 302.26638793945 measured out pump: 302.26638793945
length: 756 measured in pump: 301.88619995117 measured out pump: 301.88619995117
length: 757 measured in pump: 301.50677490234 measured out pump: 301.50677490234
length: 758 measured in pump: 301.1286315918 measured out pump: 301.1286315918
length: 759 measured in pump: 300.75143432617 measured out pump: 300.75143432617
length: 760 measured in pump: 300.37506103516 measured out pump: 300.37506103516
length: 761 measured in pump: 299.99932861328 measured out pump: 299.99932861328
length: 762 measured in pump: 299.62487792969 measured out pump: 299.62487792969
length: 763 measured in pump: 299.25119018555 measured out pump: 299.25119018555
length: 764 measured in pump: 298.87872314453 measured out pump: 298.87872314453
length: 765 measured in pump: 298.5068359375 measured out pump: 298.5068359375
length: 766 measured in pump: 298.1360168457 measured out pump: 298.1360168457
length: 767 measured in pump: 297.76599121094 measured out pump: 297.76599121094
length: 768 measured in pump: 297.39721679688 measured out pump: 297.39721679688
length: 769 measured in pump: 297.02911376953 measured out pump: 297.02911376953
length: 770 measured in pump: 296.66195678711 measured out pump: 296.66195678711
length: 771 measured in pump: 296.29571533203 measured out pump: 296.29571533203
length: 772 measured in pump: 295.93045043945 measured out pump: 295.93045043945
length: 773 measured in pump: 295.56585693359 measured out pump: 295.56585693359
length: 774 measured in pump: 295.20248413086 measured out pump: 295.20248413086
length: 775 measured in pump: 294.83978271484 measured out pump: 294.83978271484
length: 776 measured in pump: 294.47787475586 measured out pump: 294.47787475586
length: 777 measured in pump: 294.11706542969 measured out pump: 294.11706542969
length: 778 measured in pump: 293.75689697266 measured out pump: 293.75689697266
length: 779 measured in pump: 293.39785766602 measured out pump: 293.39785766602
length: 780 measured in pump: 293.03973388672 measured out pump: 293.03973388672
length: 781 measured in pump: 292.68228149414 measured out pump: 292.68228149414
length: 782 measured in pump: 292.3258972168 measured out pump: 292.3258972168
length: 783 measured in pump: 291.97018432617 measured out pump: 291.97018432617
length: 784 measured in pump: 291.61557006836 measured out pump: 291.61557006836
length: 785 measured in pump: 291.26159667969 measured out pump: 291.26159667969
length: 786 measured in pump: 290.90844726563 measured out pump: 290.90844726563
length: 787 measured in pump: 290.5563659668 measured out pump: 290.5563659668
length: 788 measured in pump: 290.20495605469 measured out pump: 290.20495605469
length: 789 measured in pump: 289.85446166992 measured out pump: 289.85446166992
length: 790 measured in pump: 289.50494384766 measured out pump: 289.50491333008
length: 791 measured in pump: 289.15606689453 measured out pump: 289.15603637695
length: 792 measured in pump: 288.80825805664 measured out pump: 288.80825805664
length: 793 measured in pump: 288.46096801758 measured out pump: 288.46096801758
length: 794 measured in pump: 288.11465454102 measured out pump: 288.11462402344
length: 795 measured in pump: 287.76922607422 measured out pump: 287.76922607422
length: 796 measured in pump: 287.42462158203 measured out pump: 287.42462158203
length: 797 measured in pump: 287.08071899414 measured out pump: 287.08071899414
length: 798 measured in pump: 286.73785400391 measured out pump: 286.73785400391
length: 799 measured in pump: 286.3955078125 measured out pump: 286.3955078125
length: 800 measured in pump: 286.05422973633 measured out pump: 286.05422973633
length: 801 measured in pump: 285.71377563477 measured out pump: 285.71374511719
length: 802 measured in pump: 285.37393188477 measured out pump: 285.37393188477
length: 803 measured in pump: 285.03503417969 measured out pump: 285.03503417969
length: 804 measured in pump: 284.6969909668 measured out pump: 284.69696044922
length: 805 measured in pump: 284.35971069336 measured out pump: 284.35971069336
length: 806 measured in pump: 284.02322387695 measured out pump: 284.02319335938
length: 807 measured in pump: 283.6872253418 measured out pump: 283.6872253418
length: 808 measured in pump: 283.35260009766 measured out pump: 283.35260009766
length: 809 measured in pump: 283.01834106445 measured out pump: 283.01834106445
length: 810 measured in pump: 282.68502807617 measured out pump: 282.68502807617
length: 811 measured in pump: 282.3525390625 measured out pump: 282.3525390625
length: 812 measured in pump: 282.0207824707 measured out pump: 282.0207824707
length: 813 measured in pump: 281.68942260742 measured out pump: 281.68942260742
length: 814 measured in pump: 281.35943603516 measured out pump: 281.35943603516
length: 815 measured in pump: 281.02993774414 measured out pump: 281.02993774414
length: 816 measured in pump: 280.70123291016 measured out pump: 280.70123291016
length: 817 measured in pump: 280.3733215332 measured out pump: 280.3733215332
length: 818 measured in pump: 280.04623413086 measured out pump: 280.04623413086
length: 819 measured in pump: 279.71990966797 measured out pump: 279.71990966797
length: 820 measured in pump: 279.39407348633 measured out pump: 279.39407348633
length: 821 measured in pump: 279.0693359375 measured out pump: 279.0693359375
length: 822 measured in pump: 278.7451171875 measured out pump: 278.74508666992
length: 823 measured in pump: 278.42166137695 measured out pump: 278.42166137695
length: 824 measured in pump: 278.09915161133 measured out pump: 278.09912109375
length: 825 measured in pump: 277.77728271484 measured out pump: 277.77725219727
length: 826 measured in pump: 277.4560546875 measured out pump: 277.4560546875
length: 827 measured in pump: 277.13577270508 measured out pump: 277.13577270508
length: 828 measured in pump: 276.81597900391 measured out pump: 276.81597900391
length: 829 measured in pump: 276.49697875977 measured out pump: 276.49697875977
length: 830 measured in pump: 276.17892456055 measured out pump: 276.17892456055
length: 831 measured in pump: 275.86151123047 measured out pump: 275.86148071289
length: 832 measured in pump: 275.54489135742 measured out pump: 275.54486083984
length: 833 measured in pump: 275.22888183594 measured out pump: 275.22888183594
length: 834 measured in pump: 274.91339111328 measured out pump: 274.91339111328
length: 835 measured in pump: 274.59899902344 measured out pump: 274.59899902344
