Float pumping speeds by length of pipe between two pumps:
length: 94 measured in pump: 1035.5871582031 measured out pump: 1035.5871582031
length: 95 measured in pump: 1035.2113037109 measured out pump: 1035.2113037109
length: 96 measured in pump: 1034.8432617188 measured out pump: 1034.8432617188
length: 97 measured in pump: 1034.4826660156 measured out pump: 1034.4826660156
length: 98 measured in pump: 1034.1296386719 measured out pump: 1034.1296386719
length: 99 measured in pump: 1033.7838134766 measured out pump: 1033.7838134766
length: 100 measured in pump: 1033.4448242188 measured out pump: 1033.4448242188
length: 101 measured in pump: 1033.1126708984 measured out pump: 1033.1126708984
length: 102 measured in pump: 1032.7869873047 measured out pump: 1032.7869873047
length: 103 measured in pump: 1032.4675292969 measured out pump: 1032.4675292969
length: 104 measured in pump: 1032.154296875 measured out pump: 1032.154296875
length: 105 measured in pump: 1031.8471679688 measured out pump: 1031.8471679688
length: 106 measured in pump: 1031.5456542969 measured out pump: 1031.5456542969
length: 107 measured in pump: 1031.25 measured out pump: 1031.25
length: 108 measured in pump: 1030.9597167969 measured out pump: 1030.9597167969
length: 109 measured in pump: 1030.6748046875 measured out pump: 1030.6748046875
length: 110 measured in pump: 1030.3951416016 measured out pump: 1030.3951416016
length: 111 measured in pump: 1030.1204833984 measured out pump: 1030.1204833984
length: 112 measured in pump: 1029.8507080078 measured out pump: 1029.8507080078
length: 113 measured in pump: 1029.5858154297 measured out pump: 1029.5858154297
length: 114 measured in pump: 1029.3255615234 measured out pump: 1029.3255615234
length: 115 measured in pump: 1029.0698242188 measured out pump: 1029.0698242188
length: 116 measured in pump: 1028.8184814453 measured out pump: 1028.8184814453
length: 117 measured in pump: 1028.5714111328 measured out pump: 1028.5714111328
length: 118 measured in pump: 1028.3286132813 measured out pump: 1028.3286132813
length: 119 measured in pump: 1028.0899658203 measured out pump: 1028.0899658203
length: 120 measured in pump: 1027.8551025391 measured out pump: 1027.8551025391
length: 121 measured in pump: 1027.6242675781 measured out pump: 1027.6242675781
length: 122 measured in pump: 1027.3972167969 measured out pump: 1027.3972167969
length: 123 measured in pump: 1027.1739501953 measured out pump: 1027.1739501953
length: 124 measured in pump: 1026.9542236328 measured out pump: 1026.9542236328
length: 125 measured in pump: 1026.7379150391 measured out pump: 1026.7379150391
length: 126 measured in pump: 1026.5251464844 measured out pump: 1026.5251464844
length: 127 measured in pump: 1026.3157958984 measured out pump: 1026.3157958984
length: 128 measured in pump: 1026.1096191406 measured out pump: 1026.1096191406
length: 129 measured in pump: 1025.9067382813 measured out pump: 1025.9067382813
length: 130 measured in pump: 1025.7069091797 measured out pump: 1025.7069091797
length: 131 measured in pump: 1025.5102539063 measured out pump: 1025.5102539063
length: 132 measured in pump: 1025.31640625 measured out pump: 1025.31640625
length: 133 measured in pump: 1025.1257324219 measured out pump: 1025.1257324219
length: 134 measured in pump: 1024.9376220703 measured out pump: 1024.9376220703
length: 135 measured in pump: 1024.7524414063 measured out pump: 1024.7524414063
length: 136 measured in pump: 1024.5700683594 measured out pump: 1024.5700683594
length: 137 measured in pump: 1024.3902587891 measured out pump: 1024.3902587891
length: 138 measured in pump: 1024.2131347656 measured out pump: 1024.2131347656
length: 139 measured in pump: 1024.0384521484 measured out pump: 1024.0384521484
length: 140 measured in pump: 1023.866394043 measured out pump: 1023.866394043
length: 141 measured in pump: 1023.6966552734 measured out pump: 1023.6966552734
length: 142 measured in pump: 1023.5294799805 measured out pump: 1023.5294799805
length: 143 measured in pump: 1023.364440918 measured out pump: 1023.364440918
length: 144 measured in pump: 1023.2018432617 measured out pump: 1023.2018432617
length: 145 measured in pump: 1023.0415039063 measured out pump: 1023.0415039063
length: 146 measured in pump: 1022.8833618164 measured out pump: 1022.8833618164
length: 147 measured in pump: 1022.7272338867 measured out pump: 1022.7272338867
length: 148 measured in pump: 1022.5733032227 measured out pump: 1022.5733032227
length: 149 measured in pump: 1022.4215698242 measured out pump: 1022.4215698242
length: 150 measured in pump: 1022.2717895508 measured out pump: 1022.2717895508
length: 151 measured in pump: 1022.1239013672 measured out pump: 1022.1239013672
length: 152 measured in pump: 1021.9780273438 measured out pump: 1021.9780273438
length: 153 measured in pump: 1021.8340454102 measured out pump: 1021.8340454102
length: 154 measured in pump: 1021.6920166016 measured out pump: 1021.6920166016
length: 155 measured in pump: 1021.5516967773 measured out pump: 1021.5516967773
length: 156 measured in pump: 1021.4133300781 measured out pump: 1021.4132080078
length: 157 measured in pump: 1021.2766113281 measured out pump: 1021.2766113281
length: 158 measured in pump: 1021.1416625977 measured out pump: 1021.1416625977
length: 159 measured in pump: 1021.0084228516 measured out pump: 1021.0084228516
length: 160 measured in pump: 1020.8768310547 measured out pump: 1020.8768310547
length: 161 measured in pump: 1020.7469482422 measured out pump: 1020.7468261719
length: 162 measured in pump: 1020.6185302734 measured out pump: 1020.6185302734
length: 163 measured in pump: 1020.4918823242 measured out pump: 1020.4917602539
length: 164 measured in pump: 1020.3666992188 measured out pump: 1020.3665771484
length: 165 measured in pump: 1020.242980957 measured out pump: 1020.242980957
length: 166 measured in pump: 1020.1207275391 measured out pump: 1020.1207275391
length: 167 measured in pump: 1020 measured out pump: 1020
length: 168 measured in pump: 1019.8807373047 measured out pump: 1019.8807373047
length: 169 measured in pump: 1019.762878418 measured out pump: 1019.762878418
length: 170 measured in pump: 1019.6463623047 measured out pump: 1019.6463623047
length: 171 measured in pump: 1019.53125 measured out pump: 1019.53125
length: 172 measured in pump: 1019.4174804688 measured out pump: 1019.4174804688
length: 173 measured in pump: 1019.3051147461 measured out pump: 1019.3049926758
length: 174 measured in pump: 1019.1938476563 measured out pump: 1019.1938476563
length: 175 measured in pump: 1019.083984375 measured out pump: 1019.0839233398
length: 176 measured in pump: 1018.975402832 measured out pump: 1018.9752807617
length: 177 measured in pump: 1018.8679199219 measured out pump: 1018.8678588867
length: 178 measured in pump: 1018.76171875 measured out pump: 1018.7616577148
length: 179 measured in pump: 1018.6567993164 measured out pump: 1018.6566772461
length: 180 measured in pump: 1018.5529174805 measured out pump: 1018.5527954102
length: 181 measured in pump: 1018.4502563477 measured out pump: 1018.4501342773
length: 182 measured in pump: 1018.3487548828 measured out pump: 1018.3485107422
length: 183 measured in pump: 1018.2482299805 measured out pump: 1018.2481689453
length: 184 measured in pump: 1018.1489257813 measured out pump: 1018.1488037109
length: 185 measured in pump: 1018.0505981445 measured out pump: 1018.0504760742
length: 186 measured in pump: 1017.9534301758 measured out pump: 1017.9532470703
length: 187 measured in pump: 1017.8571777344 measured out pump: 1017.8571166992
length: 188 measured in pump: 1017.7620849609 measured out pump: 1017.7619018555
length: 189 measured in pump: 1017.6679077148 measured out pump: 1017.6677856445
length: 190 measured in pump: 1017.5747680664 measured out pump: 1017.5746459961
length: 191 measured in pump: 1017.4826660156 measured out pump: 1017.482421875
length: 192 measured in pump: 1017.391418457 measured out pump: 1017.3912353516
length: 193 measured in pump: 1017.3011474609 measured out pump: 1017.3010253906
length: 194 measured in pump: 1017.2117919922 measured out pump: 1017.2116699219
length: 195 measured in pump: 1017.1232910156 measured out pump: 1017.1232910156
length: 196 measured in pump: 1017.0358886719 measured out pump: 1017.0357666016
length: 197 measured in pump: 1016.9470825195 measured out pump: 1016.9470825195
length: 198 measured in pump: 1012.6561889648 measured out pump: 1012.6561889648
length: 199 measured in pump: 1008.401550293 measured out pump: 1008.401550293
length: 200 measured in pump: 1004.1818847656 measured out pump: 1004.1818847656
length: 201 measured in pump: 999.99890136719 measured out pump: 999.99890136719
length: 202 measured in pump: 995.84918212891 measured out pump: 995.84918212891
length: 203 measured in pump: 991.73321533203 measured out pump: 991.73321533203
length: 204 measured in pump: 987.65209960938 measured out pump: 987.65209960938
length: 205 measured in pump: 983.60528564453 measured out pump: 983.60528564453
length: 206 measured in pump: 979.59033203125 measured out pump: 979.59033203125
length: 207 measured in pump: 975.60791015625 measured out pump: 975.60791015625
